iter	Passed	Remaining
402	10396	15401
403	10417	15368
404	10437	15334
405	10460	15304
406	10484	15275
407	10506	15244
408	10528	15213
409	10551	15183
410	10575	15155
411	10599	15126
412	10622	15097
413	10644	15066
414	10667	15036
415	10691	15008
416	10713	14978
417	10740	14954
418	10764	14927
419	10786	14895
420	10806	14862
421	10829	14832
422	10852	14803
423	10876	14775
424	10899	14746
425	10921	14715
426	10943	14685
427	10967	14657
428	10988	14625
429	11009	14594
430	11032	14565
431	11057	14538
432	11082	14512
433	11106	14484
434	11129	14455
435	11152	14426
436	11174	14396
437	11199	14370
438	11226	14346
439	11254	14323
440	11278	14295
441	11300	14265
442	11320	14233
443	11340	14201
444	11370	14180
445	11397	14157
446	11421	14130
447	11445	14102
448	11469	14074
449	11492	14045
450	11513	14015
451	11533	13983
452	11556	13954
453	11580	13927
454	11608	13904
455	11632	13877
456	11657	13850
457	11681	13823
458	11702	13793
459	11724	13763
460	11747	13735
461	11775	13712
462	11802	13688
463	11826	13661
464	11850	13634
465	11870	13602
466	11892	13572
467	11914	13543
468	11937	13515
469	11960	13486
470	11985	13461
471	12007	13432
472	12030	13403
473	12051	13373
474	12073	13344
475	12096	13316
476	12122	13291
477	12148	13266
478	12171	13238
479	12195	13211
480	12220	13185
481	12244	13159
482	12269	13133
483	12292	13104
484	12324	13086
485	12351	13063
486	12378	13039
487	12402	13012
488	12423	12982
489	12446	12954
490	12470	12927
491	12494	12901
492	12518	12874
493	12542	12847
494	12565	12819
495	12592	12795
496	12617	12769
497	12639	12741
498	12663	12714
499	12685	12685
500	12706	12655
501	12728	12627
502	12757	12604
503	12783	12580
504	12806	12552
505	12828	12524
506	12852	12497
507	12874	12469
508	12896	12440
509	12918	12411
510	12939	12382
511	12960	12352
512	12984	12326
513	13007	12299
514	13032	12273
515	13055	12245
516	13079	12219
517	13102	12191
518	13124	12163
519	13149	12138
520	13172	12110
521	13196	12084
522	13219	12057
523	13240	12028
524	13264	12001
525	13287	11973
526	13310	11946
527	13334	11920
528	13356	11892
529	13381	11866
530	13403	11838
531	13425	11810
532	13446	11781
533	13467	11752
534	13491	11725
535	13516	11700
536	13541	11675
537	13565	11648
538	13590	11623
539	13611	11594
540	13632	11566
541	13653	11537
542	13678	11511
543	13704	11487
544	13737	11469
545	13763	11444
546	13787	11418
547	13812	11392
548	13833	11363
549	13856	11337
550	13880	11311
551	13904	11285
552	13928	11258
553	13950	11230
554	13974	11204
555	13998	11178
556	14022	11152
557	14045	11125
558	14068	11098
559	14090	11071
560	14111	11042
561	14134	11015
562	14158	10990
563	14184	10965
564	14208	10939
565	14230	10911
566	14252	10884
567	14277	10858
568	14307	10837
569	14340	10818
570	14366	10794
571	14390	10767
572	14413	10740
573	14435	10713
574	14456	10685
575	14480	10659
576	14503	10632
577	14524	10604
578	14548	10578
579	14572	10552
580	14598	10528
581	14622	10502
582	14644	10475
583	14667	10448
584	14689	10420
585	14712	10394
586	14735	10367
587	14761	10342
588	14786	10318
589	14809	10291
590	14828	10261
591	14848	10233
592	14869	10205
593	14900	10184
594	14931	10163
595	14955	10137
596	14977	10110
597	15000	10084
598	15024	10058
599	15048	10032
600	15071	10006
601	15097	9981
602	15128	9960
603	15155	9936
604	15178	9910
605	15201	9883
606	15230	9860
607	15260	9838
608	15288	9815
609	15312	9790
610	15335	9763
611	15356	9736
612	15376	9707
613	15397	9679
614	15423	9655
615	15451	9631
616	15476	9607
617	15498	9580
618	15521	9553
619	15548	9529
620	15569	9501
621	15593	9476
622	15617	9450
623	15641	9425
624	15664	9398
625	15686	9372
626	15709	9345
627	15730	9317
628	15752	9291
629	15774	9264
630	15794	9236
631	15819	9211
632	15845	9186
633	15870	9162
634	15895	9136
635	15917	9110
636	15940	9083
637	15961	9056
638	15987	9032
639	16016	9009
640	16043	8985
641	16070	8961
642	16095	8936
643	16119	8910
644	16142	8884
645	16167	8859
646	16189	8833
647	16214	8807
648	16241	8783
649	16267	8759
650	16291	8733
651	16317	8709
652	16339	8682
653	16360	8655
654	16384	8629
655	16409	8604
656	16437	8581
657	16462	8556
658	16486	8530
659	16507	8504
660	16529	8477
661	16555	8452
662	16577	8426
663	16602	8401
664	16627	8376
665	16650	8350
666	16673	8324
667	16693	8296
668	16714	8269
669	16734	8242
670	16761	8218
671	16787	8194
672	16812	8169
673	16832	8141
674	16853	8114
675	16875	8088
676	16897	8061
677	16920	8035
678	16943	8010
679	16965	7983
680	16988	7957
681	17008	7930
682	17031	7904
683	17056	7879
684	17079	7854
685	17103	7828
686	17126	7802
687	17148	7776
688	17170	7750
689	17189	7722
690	17211	7696
691	17237	7672
692	17261	7646
693	17284	7620
694	17308	7595
695	17331	7569
696	17354	7544
697	17376	7518
698	17404	7494
699	17429	7469
700	17452	7444
701	17474	7417
702	17495	7391
703	17519	7366
704	17542	7340
705	17566	7315
706	17596	7292
707	17621	7267
708	17644	7241
709	17667	7216
710	17692	7191
711	17720	7167
712	17746	7143
713	17769	7117
714	17789	7090
715	17810	7064
716	17833	7038
717	17858	7014
718	17884	6989
719	17907	6964
720	17929	6938
721	17951	6911
722	17975	6886
723	17997	6860
724	18017	6834
725	18037	6807
726	18057	6780
727	18080	6755
728	18104	6730
729	18126	6704
730	18150	6679
731	18171	6653
732	18193	6627
733	18215	6601
734	18239	6576
735	18262	6550
736	18286	6525
737	18310	6500
738	18332	6474
739	18356	6449
740	18381	6424
741	18406	6400
742	18428	6374
743	18450	6348
744	18469	6321
