iter	MAPE
0	0.7799423192
1	0.7785757226
2	0.7771154963
3	0.7757513166
4	0.7740286605
5	0.7726948008
6	0.7713684818
7	0.7701469952
8	0.7691619178
9	0.7680108681
10	0.7666904511
11	0.765501848
12	0.7640486898
13	0.7628590019
14	0.7617043151
15	0.7602565063
16	0.7592216601
17	0.7582337978
18	0.7571871507
19	0.7560450024
20	0.755201344
21	0.7539240426
22	0.7530719537
23	0.7519427632
24	0.7511646266
25	0.7504176841
26	0.7496746554
27	0.7489951914
28	0.7482411787
29	0.7475634078
30	0.7464596034
31	0.7458380102
32	0.7451877628
33	0.7445828497
34	0.7439196742
35	0.742955086
36	0.742400225
37	0.7418125664
38	0.7413206338
39	0.7407600255
40	0.7397628089
41	0.7392940169
42	0.7387672012
43	0.7382371943
44	0.7376976098
45	0.7372141059
46	0.7367387145
47	0.7362732256
48	0.7358595785
49	0.7353813941
50	0.734988364
51	0.7345267604
52	0.7341150765
53	0.73324662
54	0.7328148566
55	0.732381513
56	0.7319682474
57	0.7315312551
58	0.73116059
59	0.7304912929
60	0.7301150714
61	0.7297816095
62	0.7293616242
63	0.7290051556
64	0.7286654937
65	0.7283341919
66	0.72799411
67	0.727629624
68	0.7271946484
69	0.7267851282
70	0.7262907925
71	0.7259319655
72	0.725541635
73	0.7250653412
74	0.724737438
75	0.7244024682
76	0.7240174589
77	0.7236569331
78	0.7233488408
79	0.7230136353
80	0.7224133414
81	0.7220663068
82	0.7217826805
83	0.7215022875
84	0.7211836761
85	0.7209115385
86	0.7205980169
87	0.7202972599
88	0.7200427654
89	0.7197826001
90	0.7195104829
91	0.7192019617
92	0.7188458834
93	0.7185801671
94	0.7183349458
95	0.7180725357
96	0.7177799538
97	0.7175088313
98	0.7172493089
99	0.716936084
100	0.7167212678
101	0.7163376532
102	0.7161269684
103	0.7159023656
104	0.7156511988
105	0.71541053
106	0.715132079
107	0.7149102213
108	0.7146818468
109	0.7143485221
110	0.7141259804
111	0.7138613041
112	0.7135828699
113	0.7132796636
114	0.7129969927
115	0.7127586163
116	0.712525874
117	0.7123170281
118	0.7121302781
119	0.711897712
120	0.7116084609
121	0.7113786157
122	0.7111911571
123	0.7109855892
124	0.710770311
125	0.7105630453
126	0.7103318368
127	0.7101358088
128	0.7098544538
129	0.7096345117
130	0.7092949501
131	0.7091035628
132	0.7088549627
133	0.7086420617
134	0.708426987
135	0.7082330656
136	0.7080415862
137	0.7076671975
138	0.7074445889
139	0.7072321555
140	0.7070302263
141	0.7068309456
142	0.7066474963
143	0.7064835695
144	0.7061713715
145	0.7059625406
146	0.7057820691
147	0.7056293427
148	0.705432094
149	0.705206493
150	0.7050012487
151	0.7048536233
152	0.7046221964
153	0.7044324782
154	0.7042389116
155	0.7040704419
156	0.7038316737
157	0.7036329846
158	0.7034631428
159	0.703259661
160	0.7030877953
161	0.7029304844
162	0.7027834683
163	0.7025813782
164	0.7024308456
165	0.7022692381
166	0.7021082746
167	0.7019592044
168	0.7018072953
169	0.7016434657
170	0.7014941765
171	0.7013229333
172	0.7011993891
173	0.7010440119
174	0.7008877021
175	0.7007494319
176	0.7006216326
177	0.7004939733
178	0.7003858047
179	0.7002278342
180	0.700084765
181	0.6999401592
182	0.699803122
183	0.6996490573
184	0.6994410401
185	0.6993165
186	0.6991695517
187	0.6990357971
188	0.6989063175
189	0.6987667172
190	0.698617705
191	0.698477252
192	0.6983284079
193	0.698198029
194	0.6979656621
195	0.6977989794
196	0.6976674504
197	0.6975464238
198	0.6974060026
199	0.6972800217
200	0.6971400045
201	0.697030579
202	0.6968855769
203	0.6966976098
204	0.6965806614
205	0.6964418005
206	0.6963124204
207	0.6961811984
208	0.696087591
209	0.6959551364
210	0.6958691521
211	0.6957157061
212	0.6956078194
213	0.6954931168
214	0.6953772558
215	0.6952769867
216	0.6951373577
217	0.6949991739
218	0.694887003
219	0.694789977
220	0.6946969272
221	0.6945804788
222	0.6944703369
223	0.694355613
224	0.694283033
225	0.6941833442
226	0.6941100269
227	0.693981815
228	0.6938694228
229	0.6937260091
230	0.6936366707
231	0.6934738899
232	0.693366199
233	0.693275367
234	0.6931806103
235	0.6930944997
236	0.6929814599
237	0.6929050228
238	0.6928040487
239	0.6927243245
240	0.6926111457
241	0.6925505906
242	0.6924571177
243	0.6923747442
244	0.6922581457
245	0.6921474624
246	0.6920572697
247	0.691935023
248	0.6918693354
249	0.6917937652
250	0.6916857076
251	0.6915979748
252	0.691508316
253	0.691430408
254	0.6912931444
255	0.6912072697
256	0.6911225077
257	0.6910239411
258	0.6909291952
259	0.6908296615
260	0.6907402279
261	0.6906628214
262	0.690574357
263	0.6904846617
264	0.6903959468
265	0.6903240875
266	0.6902333542
267	0.6901231682
268	0.690048396
269	0.6900007367
270	0.6899221377
271	0.6898452933
272	0.68975189
273	0.6896796619
274	0.68959027
275	0.6895009222
276	0.6893957369
277	0.6893061374
278	0.6892091026
279	0.6891087967
280	0.6890488221
281	0.6889648578
282	0.6888818161
283	0.6888222511
284	0.688766361
285	0.688702697
286	0.6886418748
287	0.6885471455
288	0.688482599
289	0.6884137956
290	0.6883311982
291	0.688252164
292	0.6881796395
293	0.6880999493
294	0.6880219093
295	0.687941852
296	0.6878719135
297	0.6877890616
298	0.6877154391
299	0.6876542396
300	0.6875898606
301	0.6875186613
302	0.6874485783
303	0.6874045902
304	0.6873358238
305	0.6872621686
306	0.6870851785
307	0.6870156654
308	0.6869361318
309	0.6868812584
310	0.6868242779
311	0.6866817536
312	0.6866206611
313	0.6865649916
314	0.6864916917
315	0.6864208536
316	0.686308542
317	0.6862296703
318	0.6861606854
319	0.6860838167
320	0.6860305828
321	0.6859694438
322	0.685910042
323	0.6858062999
324	0.6857505734
325	0.6856871022
326	0.6856169688
327	0.685551942
328	0.685494897
329	0.68544523
330	0.6853879464
331	0.685321042
332	0.6852740416
333	0.6852161539
334	0.6851557827
335	0.685046506
336	0.6849824171
337	0.6848927087
338	0.6848037284
339	0.6847043473
340	0.6846618713
341	0.6845955398
342	0.6845417826
343	0.6844984267
344	0.684396111
345	0.684348348
346	0.6842944886
347	0.6842286713
348	0.6841700306
349	0.6841133253
350	0.6840118039
351	0.6839514307
352	0.6838932086
353	0.6838359675
354	0.6837866865
355	0.6837365655
356	0.6836800017
357	0.6836341526
358	0.6835854278
359	0.6834738533
360	0.6834312927
361	0.6833887399
362	0.6833554249
363	0.6833076868
364	0.6832659835
365	0.6831955482
366	0.6831579928
367	0.6831090198
368	0.6830426877
369	0.6829981425
370	0.6829491912
371	0.6829064693
372	0.6828266513
373	0.6827765986
374	0.6827504805
375	0.6826990399
376	0.6826529822
377	0.6825962214
378	0.6825497752
379	0.6825107064
380	0.682426831
381	0.6823816816
382	0.6823356647
383	0.6822929832
384	0.6822127614
385	0.682178057
386	0.6821371985
387	0.6820783704
388	0.6820255053
389	0.68199787
390	0.6819571605
391	0.6819179689
392	0.6818785959
393	0.6818364434
394	0.6817960871
395	0.6817230635
396	0.6816558537
397	0.6816159453
398	0.681546457
399	0.6815063603
400	0.6814647792
401	0.6814203792
402	0.6813750655
403	0.681338444
404	0.6813048586
405	0.681270805
406	0.6812330026
407	0.6811995542
408	0.6811606077
409	0.6811228698
410	0.6810856618
411	0.681050999
412	0.6810161981
413	0.6809819892
414	0.6809511272
415	0.6809210653
416	0.6808820419
417	0.6808212181
418	0.6807970042
419	0.6807597279
420	0.6807271166
421	0.680683924
422	0.6806464143
423	0.6806136018
424	0.6805972689
425	0.6805790557
426	0.6805465492
427	0.6805218634
428	0.6804620516
429	0.6804346626
430	0.6804049909
431	0.6803749075
432	0.680341151
433	0.6803144466
434	0.680281294
435	0.6802526773
436	0.6802281098
437	0.6802001436
438	0.6801663
439	0.6801418012
440	0.6801119048
441	0.6800808522
442	0.6800517712
443	0.6800201896
444	0.6799937596
445	0.679954897
446	0.67992177
447	0.6798884443
448	0.6798579319
449	0.6798283923
450	0.6797909128
451	0.679762026
452	0.679734013
453	0.6797109959
454	0.6796850424
455	0.6796535873
456	0.67963147
457	0.6796094437
458	0.6795752071
459	0.6795507625
460	0.6795248866
461	0.6794815121
462	0.6794570415
463	0.6794329082
464	0.6794038071
465	0.6793870319
466	0.6793628001
467	0.6793369414
468	0.6793132309
469	0.679291118
470	0.6792666347
471	0.6792438192
472	0.6792151941
473	0.6791949234
474	0.6791734807
475	0.6791536361
476	0.6791354563
477	0.679116677
478	0.6791004219
479	0.6790862288
480	0.6790690501
481	0.679048787
482	0.6790324763
483	0.6790143182
484	0.6790013495
485	0.6789881892
486	0.6789733504
487	0.6789580543
488	0.6789445376
489	0.6789286373
490	0.678917702
491	0.6789045307
492	0.6788931682
493	0.6788822575
494	0.6788684751
495	0.678854857
496	0.6788440208
497	0.6788338683
498	0.6788262638
499	0.6788199356
500	0.678811166
501	0.6788023878
502	0.6787981049
503	0.6787928656
504	0.6787886084
505	0.678785454
506	0.6787811652
507	0.6787752865
508	0.6787715671
509	0.6787681386
510	0.6787649788
511	0.6787624502
512	0.6787601186
513	0.6787585532
514	0.6787563421
515	0.6787555908
516	0.678751737
517	0.678750667
518	0.6787494478
519	0.6787505076
520	0.6787493051
521	0.6787469759
522	0.6787458996
523	0.6787436469
524	0.6787411746
525	0.6787384727
526	0.6787332201
527	0.6787304264
528	0.6787292294
529	0.6787294324
530	0.6787267131
531	0.6786827884
532	0.6786869438
533	0.67868938
534	0.678686918
535	0.678685222
536	0.6786870777
537	0.6786850592
538	0.6786871725
539	0.6786906122
540	0.6786935617
541	0.6786960079
542	0.6786990772
543	0.6787001509
544	0.6787013355
545	0.6786599343
546	0.6786608823
547	0.6786632063
548	0.6786642737
549	0.6786658591
550	0.6786680863
551	0.6786692089
552	0.6786704609
553	0.678670721
554	0.6786678768
555	0.6786679084
556	0.6786678885
557	0.6786671655
558	0.6786671881
559	0.6786678188
560	0.6786639823
561	0.6786598064
562	0.6786601489
563	0.6786591553
564	0.6786589437
565	0.6786550714
566	0.6786509848
567	0.6786505988
568	0.6786504921
569	0.6786530001
570	0.6786561202
571	0.6786631259
572	0.6786701581
573	0.6786766321
574	0.6786830391
575	0.678691123
576	0.6786992736
577	0.6787072297
578	0.6787155306
579	0.6787260316
580	0.6787375446
581	0.6787406144
582	0.6787539529
583	0.6787671871
584	0.67877958
585	0.6787908701
586	0.6788022937
587	0.6788144508
588	0.6788197539
589	0.6788310836
590	0.6788353494
591	0.6788466237
592	0.6788578472
593	0.6788693025
594	0.6788806368
595	0.6788905213
596	0.6789031684
597	0.678889335
598	0.6789019787
599	0.6789127479
600	0.6789257645
601	0.6789386935
602	0.6789524432
603	0.6789671102
604	0.678982478
605	0.6789955959
606	0.6790125357
607	0.6790285746
608	0.6790434099
609	0.6790577406
610	0.6790716541
611	0.6790887057
612	0.6791053607
613	0.6791228473
614	0.6791392598
615	0.6791568673
616	0.6791750323
617	0.6791925789
618	0.6792112626
619	0.6792292724
620	0.6792354408
621	0.6792525214
622	0.6792712556
623	0.6792903353
624	0.6793091111
625	0.67932813
626	0.679345606
627	0.6793627655
628	0.6793805363
629	0.6793963755
630	0.6794140817
631	0.6794329376
632	0.6794509032
633	0.6794692226
634	0.6794894724
635	0.679508401
636	0.6795135662
637	0.6795338155
638	0.6795388075
639	0.6795399818
640	0.6795611469
641	0.6795816353
642	0.6796025062
643	0.6796245535
644	0.6796456527
645	0.6796676896
646	0.6796878946
647	0.6796996464
648	0.6797196978
649	0.6797395311
650	0.6797617222
651	0.6797853809
652	0.6798067808
653	0.6798275341
654	0.6798389562
655	0.679858018
656	0.6798771084
657	0.6798970893
658	0.6799172211
659	0.6799385549
660	0.6799595977
661	0.679978508
662	0.6799970987
663	0.6800143652
664	0.6800327372
665	0.6800494382
666	0.6800684765
667	0.6800826719
668	0.6801006512
669	0.6801176364
670	0.6801348184
671	0.6801534135
672	0.6801708368
673	0.6801881292
674	0.6802056304
675	0.6802237284
676	0.680238795
677	0.6802574708
678	0.6802730081
679	0.6802899625
680	0.68030846
681	0.6803221578
682	0.6803394452
683	0.680357413
684	0.680377268
685	0.6803974422
686	0.6804172386
687	0.6804367559
688	0.6804563153
689	0.6804756099
690	0.6804941583
691	0.6805129211
692	0.6805347849
693	0.6805527869
694	0.6805704121
695	0.6805900225
696	0.6806097065
697	0.6806291946
698	0.6806482325
699	0.6806678008
700	0.6806851085
701	0.6807014471
702	0.6807183867
703	0.6807340784
704	0.6807510665
705	0.6807688117
706	0.6807871506
707	0.6808068904
708	0.680828275
709	0.6808485021
710	0.6808670964
711	0.680886602
712	0.6809063813
713	0.6809288567
714	0.6809461858
715	0.6809650619
716	0.6809812185
717	0.6809963552
718	0.6810121558
719	0.6810266066
720	0.6810419024
721	0.681056967
722	0.6810711325
723	0.6810852693
724	0.6811024951
725	0.6811199061
726	0.6811382429
727	0.6811563815
728	0.6811669373
729	0.6811859246
730	0.6812010114
731	0.6812205129
732	0.6812398138
733	0.6812579994
734	0.6812760805
735	0.6812959394
736	0.6813135326
737	0.6813313588
738	0.6813491934
739	0.6813659715
740	0.6813841225
741	0.6814002102
742	0.6814151907
743	0.6814306994
744	0.6814457953
745	0.681460763
746	0.6814793805
747	0.6814957375
748	0.681511712
749	0.6815277542
750	0.6815461871
751	0.6815633324
752	0.6815776928
753	0.6815920323
754	0.6816131221
755	0.6816173352
756	0.6816366736
757	0.6816534882
758	0.6816728554
759	0.681690361
760	0.6817091739
761	0.6817319125
762	0.6817480179
763	0.6817668165
764	0.6817859535
765	0.6818057544
766	0.6818303036
767	0.6818564209
768	0.6818755567
769	0.6819007268
770	0.6819271366
771	0.681952825
772	0.6819770193
773	0.6820013595
774	0.6820255558
775	0.6820520269
776	0.6820761791
777	0.6821069571
778	0.6821313823
779	0.6821637148
780	0.6821896744
781	0.682216054
782	0.682251251
783	0.6822760888
784	0.6823031226
785	0.6823346247
786	0.6823721992
787	0.6823945824
788	0.6824263702
789	0.6824627707
790	0.6824910694
791	0.6825279452
792	0.6825622567
793	0.6825919747
794	0.6826289497
795	0.682663206
796	0.6827017988
797	0.6827390499
798	0.6827712518
799	0.6828048293
800	0.6828410637
801	0.6828821801
802	0.6829157647
803	0.6829493538
