,metric,metric,metric,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,recall,recall,recall,recall,recall,recall,recall,recall,recall,recall,recall,recall,recall,recall,recall,recall,recall,f1,f1,f1,f1,f1,f1,f1,f1,f1,f1,f1,f1,f1,f1,f1,f1,f1
,FPS,mAP_50,mAP50-95,bee,chicken,cow,creeper,enderman,fox,frog,ghast,goat,llama,pig,sheep,skeleton,spider,turtle,wolf,zombie,bee,chicken,cow,creeper,enderman,fox,frog,ghast,goat,llama,pig,sheep,skeleton,spider,turtle,wolf,zombie,bee,chicken,cow,creeper,enderman,fox,frog,ghast,goat,llama,pig,sheep,skeleton,spider,turtle,wolf,zombie
YOLO,80.8,0.4,0.282,-,0.2692307692307692,0.4,0.46875,0.0,-,-,-,-,-,0.45410628019323673,0.5,0.5,0.5,-,-,0.5,-,0.5384615384615384,0.9090909090909091,0.8823529411764706,0.0,-,-,-,-,-,0.8173913043478261,0.24528301886792453,0.5,0.42857142857142855,-,-,0.3333333333333333,-,0.3589743585299145,0.5555555551311728,0.612244897506039,0.0,-,-,-,-,-,0.583850931217835,0.3291139236090371,0.49999999949999996,0.4615384610414201,-,-,0.39999999952000004
FCOS_MMDet,30.6,0.492,0.249,0.0,0.6249999403953552,0.8260868787765503,0.9999999403953552,0.0,0.0,0.0,0.0,0.0,0.0,0.7929292917251587,0.9999997615814209,0.9999995231628418,0.9999995231628418,0.0,0.0,0.0,0.0,0.38461536169052124,0.863636314868927,0.8235293030738831,0.0,0.0,0.0,0.0,0.0,0.0,0.6826087236404419,0.07547169923782349,0.49999988079071045,0.2857142388820648,0.0,0.0,0.0,0.0,0.4761900007724762,0.8444438576698303,0.9032252430915833,0.0,0.0,0.0,0.0,0.0,0.0,0.733644425868988,0.14035075902938843,0.6666660308837891,0.4444439709186554,0.0,0.0,0.0
